Sat Mar 22 00:53:48 2025    minecraft.prof

         1937989 function calls (1937944 primitive calls) in 6.226 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    0.001    0.000 rand_vec.py:13(__init__)
       24    0.000    0.000    0.000    0.000 __init__.py:396(__getitem__)
      150    0.000    0.000    0.000    0.000 numpymodule.py:132(arrayByteCount)
        8    0.000    0.000    0.000    0.000 wrapper.py:429(finalise)
      223    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       16    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.000    0.000 numpymodule.py:68(NumpyHandler)
       78    0.000    0.000    0.001    0.000 arraydatatype.py:139(dataPointer)
        5    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
      151    0.000    0.000    0.000    0.000 {built-in method math.radians}
       25    0.000    0.000    0.000    0.000 {function Random.setstate at 0x7faf58a1a8e0}
       25    0.000    0.000    0.001    0.000 tools.py:29(sample_vector)
       79    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       76    0.000    0.000    0.000    0.000 opengl.py:51(perspective)
       24    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
      6/1    0.000    0.000    6.226    6.226 {built-in method builtins.exec}
       75    0.000    0.000    0.000    0.000 {built-in method pyglm.glm.identity}
        5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
       24    0.000    0.000    0.000    0.000 ctypesloader.py:94(buildFunction)
       77    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        3    0.000    0.000    0.001    0.000 wrapper.py:678(wrapperCall)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        8    0.000    0.000    0.000    0.000 wrapper.py:476(finaliseCall)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       26    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
       24    0.000    0.000    0.000    0.000 baseplatform.py:119(errorChecking)
       25    0.000    0.000    0.000    0.000 random.py:135(seed)
       25    0.000    0.000    0.000    0.000 tools.py:71(hasher)
        3    0.000    0.000    0.000    0.000 converters.py:354(__call__)
        5    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:1349(_find_and_load)
       26    0.000    0.000    0.000    0.000 __init__.py:2149(getLogger)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 numpymodule.py:1(<module>)
       24    0.000    0.000    0.000    0.000 baseplatform.py:112(functionTypeFor)
      226    0.000    0.000    0.000    0.000 converters.py:198(__call__)
        8    0.000    0.000    0.000    0.000 plugins.py:68(match)
        3    0.000    0.000    0.001    0.000 converters.py:373(stringArrayForC)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
       75    0.000    0.000    0.000    0.000 opengl.py:41(pitch)
        5    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
        5    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       24    0.000    0.000    0.000    0.000 __init__.py:389(__getattr__)
        5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
       12    0.000    0.000    0.000    0.000 converters.py:48(finalise)
       25    0.000    0.000    0.001    0.000 perlin_noise.py:113(get_from_cache_of_create_new)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       26    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
       25    0.000    0.000    0.000    0.000 random.py:173(getstate)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.000    0.000 strings.py:1(<module>)
        5    0.000    0.000    0.001    0.000 wrapper.py:758(wrapperCall)
       50    0.000    0.000    0.000    0.000 random.py:494(uniform)
       50    0.000    0.000    0.000    0.000 baseplatform.py:150(finalArgType)
       35    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
       24    0.000    0.000    0.000    0.000 wrapper.py:123(pyArgIndex)
       35    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       24    0.000    0.000    0.000    0.000 baseplatform.py:146(wrapLogging)
        1    0.000    0.000    0.000    0.000 {built-in method _io.open}
        1    0.000    0.000    0.000    0.000 types_.py:41(__init__)
        7    0.000    0.000    0.003    0.000 {built-in method builtins.__import__}
       16    0.000    0.000    0.000    0.000 wrapper.py:116(__setattr__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       35    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       50    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
       25    0.000    0.000    0.000    0.000 random.py:177(setstate)
       55    0.000    0.000    0.000    0.000 wrapper.py:104(__getattr__)
        5    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:911(_load_unlocked)
        7    0.000    0.000    0.003    0.000 plugins.py:40(importByName)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      150    0.000    0.000    0.000    0.000 nones.py:30(asArray)
        2    0.000    0.000    0.000    0.000 __init__.py:397(get_provider)
        1    0.000    0.000    0.000    0.000 ctypespointers.py:1(<module>)
        1    0.000    0.000    0.006    0.006 opengl.py:145(init_program)
        6    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 ctypesarrays.py:1(<module>)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
       47    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       12    0.000    0.000    0.000    0.000 <frozen posixpath>:100(split)
        1    0.000    0.000    6.226    6.226 <string>:1(<module>)
       75    0.000    0.000    0.000    0.000 converters.py:324(__call__)
       42    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        5    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:989(exec_module)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       26    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      150    0.000    0.000    0.000    0.000 ctypespointers.py:18(from_param)
        1    0.000    0.000    0.000    0.000 ctypesarrays.py:16(CtypesArrayHandler)
        1    0.000    0.000    0.000    0.000 opengl.py:18(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       50    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        1    0.000    0.000    0.014    0.014 opengl.py:112(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       80    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:179(dirname)
       12    0.000    0.000    0.000    0.000 __init__.py:2442(_is_zip_egg)
        2    0.000    0.000    0.000    0.000 __init__.py:1428(_fixupParents)
       24    0.000    0.000    0.000    0.000 error.py:195(__bool__)
       26    0.000    0.000    0.000    0.000 __init__.py:243(_releaseLock)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       53    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        7    0.000    0.000    0.003    0.000 plugins.py:15(load)
       30    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       30    0.000    0.000    0.000    0.000 numpymodule.py:233(lookupDtype)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       75    0.000    0.000    0.000    0.000 nones.py:21(from_param)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 nones.py:1(<module>)
        1    0.000    0.000    0.000    0.000 opengl.py:183(settings)
       14    0.000    0.000    0.000    0.000 __init__.py:1680(_parents)
       12    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.015    0.015 graphics.py:22(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        5    0.000    0.000    0.001    0.000 arraydatatype.py:200(zeros)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
       75    0.000    0.000    0.000    0.000 ctypespointers.py:48(asArray)
       30    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       15    0.000    0.000    0.001    0.000 wrapper.py:567(calculate_cArguments)
       30    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        2    0.000    0.000    0.000    0.000 __init__.py:3229(_find_adapter)
        8    0.000    0.000    0.000    0.000 latebind.py:17(setFinalCall)
       27    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        5    0.000    0.000    0.001    0.000 converters.py:228(__call__)
        2    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
        1    0.000    0.000    0.000    0.000 strings.py:16(StringHandler)
       10    0.000    0.000    0.000    0.000 converters.py:277(getSize)
        2    0.000    0.000    0.000    0.000 __init__.py:1589(_fn)
       12    0.000    0.000    0.000    0.000 __init__.py:2435(_is_egg_path)
        5    0.000    0.000    0.001    0.000 converters.py:294(__call__)
       75    0.000    0.000    0.000    0.000 nones.py:24(dataPointer)
        2    0.000    0.000    0.000    0.000 __init__.py:1489(__init__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        3    0.000    0.000    0.000    0.000 wrapper.py:135(cArgIndex)
        3    0.000    0.000    0.000    0.000 converters.py:366(stringArray)
        2    0.000    0.000    0.000    0.000 __init__.py:1694(__init__)
       31    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 opengl.py:121(init_buffers)
        1    0.000    0.000    0.000    0.000 ctypespointers.py:11(CtypesPointerHandler)
        2    0.000    0.000    0.000    0.000 __init__.py:1595(_validate_resource_path)
        5    0.000    0.000    0.000    0.000 converters.py:236(oldStyleReturn)
       26    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.ascontiguousarray}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       27    0.000    0.000    0.000    0.000 wrapper.py:41(asList)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        2    0.000    0.000    0.000    0.000 <frozen ntpath>:87(isabs)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
